epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.031,0.86188,1.91708,1.75404,1.26584,0.926,0.61103,0.80478,0.61526,0.926,0.61103,0.80546,0.63471,0.83869,1.48727,2.15798,0.97296,0.0738012,0.00654971,0.00654971
2,145.614,0.90466,1.48867,1.24734,1.23739,0.57291,0.60379,0.53587,0.35407,0.57771,0.59448,0.52384,0.36155,1.1015,2.5069,1.63135,1.16716,0.0468728,0.0129547,0.0129547
3,156.692,0.95934,1.64461,1.23219,1.25848,0.235,0.30573,0.18192,0.07708,0.23674,0.28843,0.16388,0.0634,2.01186,5.14741,2.41966,1.90199,0.0196805,0.0190957,0.0190957
4,167.729,1.02192,1.70441,1.23705,1.29904,0.33339,0.3949,0.25661,0.11437,0.38761,0.42887,0.25756,0.12101,1.77794,6.75439,2.60734,1.96555,0.018812,0.018812,0.018812
5,178.724,0.99415,1.51387,1.16756,1.28246,0.4138,0.45223,0.32407,0.13684,0.45342,0.43949,0.30751,0.13407,1.68892,6.33008,2.20954,1.78002,0.018416,0.018416,0.018416
6,189.772,0.95505,1.59801,1.12095,1.27194,0.43707,0.47771,0.29428,0.15351,0.4651,0.47444,0.30562,0.17033,1.76588,2.1676,2.13218,1.76278,0.01802,0.01802,0.01802
7,200.856,0.9217,1.43416,1.0536,1.24906,0.84301,0.69002,0.7444,0.52832,0.85357,0.69851,0.74782,0.59343,1.06661,1.44842,1.23932,1.10163,0.017624,0.017624,0.017624
8,211.966,0.91351,1.38783,1.03459,1.23585,0.85067,0.76008,0.83196,0.57028,0.85912,0.76858,0.84555,0.65949,1.02623,1.20567,1.16361,1.05018,0.017228,0.017228,0.017228
9,222.993,0.90778,1.28995,0.99491,1.23246,0.71872,0.72824,0.70379,0.48934,0.70346,0.70064,0.66778,0.51855,0.95556,1.47331,1.42298,1.0504,0.016832,0.016832,0.016832
10,234.037,0.88948,1.33045,0.96754,1.22194,0.79807,0.7384,0.77341,0.5514,0.82562,0.73673,0.78561,0.61617,1.07463,1.44157,1.11325,1.0804,0.016436,0.016436,0.016436
11,245.093,0.84804,1.26263,0.9189,1.20705,0.87755,0.77602,0.85787,0.63835,0.88956,0.78664,0.8647,0.7021,0.87848,1.19117,0.97741,0.97117,0.01604,0.01604,0.01604
12,256.292,0.85326,1.15478,0.93182,1.20578,0.77646,0.71338,0.75953,0.57875,0.79285,0.72399,0.77542,0.64893,0.92682,1.27917,1.04548,1.00054,0.015644,0.015644,0.015644
13,267.393,0.84562,1.2281,0.90762,1.20872,0.80741,0.67728,0.71784,0.52418,0.81729,0.67428,0.72732,0.57023,1.00797,1.72747,1.4125,1.05049,0.015248,0.015248,0.015248
14,278.368,0.82451,1.17934,0.90091,1.19065,0.78933,0.69002,0.73752,0.53853,0.79558,0.6941,0.72884,0.5681,0.97082,1.62156,1.1257,1.05248,0.014852,0.014852,0.014852
15,289.392,0.81717,1.17145,0.89128,1.19566,0.85416,0.80255,0.8662,0.65197,0.87123,0.81316,0.86965,0.73027,0.8815,1.11169,0.88769,0.94472,0.014456,0.014456,0.014456
16,300.514,0.79432,1.15006,0.85673,1.17241,0.86668,0.79193,0.85,0.65692,0.89536,0.79934,0.86491,0.72055,0.86175,1.05305,0.8401,0.96816,0.01406,0.01406,0.01406
17,311.631,0.76756,1.11438,0.84371,1.16834,0.82916,0.7707,0.82711,0.61181,0.83634,0.77707,0.82888,0.70568,0.94787,1.24272,1.00398,0.97129,0.013664,0.013664,0.013664
18,322.799,0.76633,1.05857,0.8395,1.16416,0.8819,0.83439,0.86253,0.65599,0.88631,0.82756,0.86691,0.71946,0.86128,1.18188,0.87154,0.96594,0.013268,0.013268,0.013268
19,333.913,0.75714,1.07738,0.84392,1.16152,0.85119,0.78981,0.84978,0.6509,0.8662,0.81094,0.87149,0.71442,0.84395,1.07102,0.93446,0.93895,0.012872,0.012872,0.012872
