epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,133.936,0.85419,1.96957,1.86419,1.26921,0.92436,0.70056,0.8455,0.65944,0.93277,0.70693,0.85417,0.71262,0.71804,1.10193,2.07682,0.88424,0.0705263,0.00327485,0.00327485
2,145.302,0.80562,1.32931,1.22926,1.19185,0.71326,0.59678,0.66634,0.43725,0.74301,0.59236,0.64912,0.48185,1.15721,2.40242,1.58452,1.15046,0.0403955,0.00647735,0.00647735
3,156.348,0.81406,1.28785,1.12387,1.18407,0.509,0.45011,0.41748,0.23861,0.57539,0.40127,0.3623,0.18964,1.57526,6.88527,1.85121,1.51618,0.0101326,0.00954784,0.00954784
4,167.495,0.82404,1.32776,1.10256,1.19301,0.78027,0.569,0.6825,0.45828,0.78646,0.53954,0.58249,0.39273,1.12983,5.69459,1.45341,1.14031,0.009406,0.009406,0.009406
5,178.61,0.84299,1.24537,1.06203,1.19634,0.70084,0.66151,0.64886,0.43988,0.74111,0.6518,0.64474,0.44372,1.0575,2.5709,1.43864,1.1041,0.009208,0.009208,0.009208
6,192.766,0.8175,1.24571,1.01333,1.18847,0.74324,0.76207,0.77459,0.48486,0.74738,0.76632,0.78376,0.52393,1.14922,1.27537,1.38867,1.1359,0.00901,0.00901,0.00901
7,203.766,0.79475,1.16525,0.98393,1.17598,0.82447,0.7707,0.831,0.56413,0.82727,0.78344,0.82209,0.65989,1.01243,1.26474,1.08889,1.02436,0.008812,0.008812,0.008812
8,214.804,0.78693,1.14253,0.96701,1.1764,0.85473,0.78701,0.83593,0.62643,0.87187,0.78556,0.84154,0.69743,0.95171,1.20139,1.01347,1.01194,0.008614,0.008614,0.008614
9,225.87,0.78145,1.12171,0.93183,1.16485,0.73805,0.67091,0.70184,0.51269,0.75205,0.67728,0.71289,0.54867,0.9267,1.23549,1.43903,1.05048,0.008416,0.008416,0.008416
10,236.977,0.76667,1.14103,0.91502,1.1558,0.90696,0.72441,0.80597,0.60146,0.9176,0.7329,0.80963,0.67566,0.86955,1.33745,1.20949,0.94633,0.008218,0.008218,0.008218
11,248.13,0.75193,1.0732,0.8762,1.15209,0.86687,0.81953,0.86413,0.64721,0.89612,0.80588,0.87298,0.72626,0.86848,0.96795,0.90599,0.92197,0.00802,0.00802,0.00802
