epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.162,0.84839,1.81368,1.74006,1.25559,0.78488,0.72041,0.75325,0.57291,0.78913,0.71762,0.74935,0.63278,0.90431,1.17502,1.73839,1.0306,0.0702632,0.00330409,0.00330409
2,147.644,0.80358,1.32435,1.21602,1.19233,0.84609,0.77495,0.81928,0.57377,0.85558,0.78132,0.83292,0.67605,1.03594,1.08968,1.34532,1.08442,0.0401317,0.00650601,0.00650601
3,159.914,0.85369,1.3244,1.14226,1.20308,0.83009,0.71975,0.76749,0.54703,0.85972,0.7417,0.80138,0.59918,1.02473,1.59861,1.20418,1.08086,0.00986832,0.00957592,0.00957592
4,171.917,0.86281,1.37446,1.11847,1.21613,0.78011,0.70488,0.72152,0.46584,0.75372,0.69002,0.6993,0.5118,1.17378,1.47338,1.57214,1.19249,0.009406,0.009406,0.009406
5,183.874,0.86097,1.28191,1.07241,1.21307,0.84124,0.75375,0.79643,0.56644,0.8765,0.76645,0.82854,0.65922,0.95192,1.02253,1.23192,0.98509,0.009208,0.009208,0.009208
6,195.8,0.84672,1.28355,1.04718,1.19937,0.85284,0.78745,0.84407,0.63282,0.86429,0.79776,0.85431,0.71378,0.84926,1.20699,1.07078,0.95832,0.00901,0.00901,0.00901
7,207.92,0.8041,1.17577,1.00071,1.1867,0.76462,0.70347,0.73912,0.52726,0.78487,0.69716,0.74483,0.59991,0.99188,1.11072,1.24036,0.99071,0.008812,0.008812,0.008812
8,219.865,0.79757,1.17466,0.98576,1.18407,0.87688,0.81652,0.85886,0.60868,0.8886,0.81287,0.86259,0.69204,0.90935,1.11804,1.20913,0.96487,0.008614,0.008614,0.008614
9,231.767,0.80305,1.17435,0.96332,1.18135,0.88571,0.75796,0.82915,0.62631,0.89912,0.7707,0.83962,0.69376,0.88001,1.24399,0.97091,0.94203,0.008416,0.008416,0.008416
10,243.627,0.78777,1.15292,0.93337,1.16917,0.83358,0.70189,0.78568,0.59174,0.82854,0.69765,0.77687,0.64622,0.8784,1.17305,1.14915,0.94576,0.008218,0.008218,0.008218
11,255.486,0.76225,1.1296,0.90568,1.16352,0.82238,0.77919,0.79426,0.59633,0.8264,0.75372,0.76934,0.62621,0.836,1.08752,1.06824,0.958,0.00802,0.00802,0.00802
12,267.413,0.76752,1.10148,0.90504,1.16378,0.88658,0.82984,0.87466,0.64455,0.93587,0.79618,0.87122,0.73257,0.95458,1.14226,0.9126,0.98099,0.007822,0.007822,0.007822
13,279.466,0.74983,1.01682,0.88211,1.15678,0.90233,0.81741,0.84999,0.67198,0.92149,0.80467,0.85338,0.75619,0.82782,1.00674,0.9396,0.94624,0.007624,0.007624,0.007624
14,291.514,0.73631,1.02711,0.87012,1.15542,0.88363,0.79618,0.86478,0.66428,0.89973,0.81922,0.87749,0.75691,0.79962,0.80852,0.86296,0.90047,0.007426,0.007426,0.007426
15,303.402,0.73274,1.02065,0.85389,1.14942,0.84004,0.76858,0.82403,0.63128,0.84228,0.771,0.82669,0.71104,0.91716,0.89807,0.96076,0.95191,0.007228,0.007228,0.007228
16,315.312,0.71368,1.08874,0.84398,1.14026,0.89679,0.78769,0.84972,0.65554,0.89713,0.79616,0.85466,0.70988,0.80499,1.0313,0.84157,0.91792,0.00703,0.00703,0.00703
17,327.287,0.72134,0.96361,0.83569,1.14388,0.88077,0.83124,0.86729,0.69741,0.90147,0.83532,0.88155,0.76364,0.75892,0.86797,0.77366,0.87168,0.006832,0.006832,0.006832
18,339.318,0.70076,0.94443,0.8043,1.12706,0.89862,0.82801,0.86725,0.68753,0.91529,0.82584,0.87443,0.76022,0.77236,0.95338,0.82784,0.87875,0.006634,0.006634,0.006634
19,351.187,0.70733,0.94477,0.80665,1.13671,0.9242,0.83652,0.87228,0.71654,0.93621,0.84713,0.8847,0.77235,0.70109,1.01578,0.7603,0.84334,0.006436,0.006436,0.006436
20,363.176,0.68546,0.9508,0.80555,1.12719,0.89309,0.78132,0.84021,0.65889,0.90489,0.79193,0.85211,0.72582,0.82254,0.92409,0.85908,0.90586,0.006238,0.006238,0.006238
21,375.038,0.68385,0.96096,0.79061,1.12106,0.89129,0.8535,0.90762,0.74243,0.90282,0.84818,0.90928,0.80284,0.68864,0.79518,0.66888,0.81978,0.00604,0.00604,0.00604
22,387.131,0.69005,0.97439,0.80061,1.12831,0.91156,0.85349,0.90746,0.73692,0.91843,0.86057,0.91385,0.796,0.66232,0.82416,0.755,0.83205,0.005842,0.005842,0.005842
23,399.106,0.67261,0.90043,0.76934,1.11985,0.91358,0.83043,0.882,0.7259,0.93149,0.82378,0.88818,0.7843,0.69375,0.85779,0.77398,0.81749,0.005644,0.005644,0.005644
24,411.031,0.66721,0.8996,0.76909,1.11403,0.92604,0.80255,0.88206,0.7106,0.94095,0.81529,0.88843,0.77183,0.68271,0.8447,0.75568,0.82267,0.005446,0.005446,0.005446
25,422.902,0.67491,0.94722,0.76203,1.12362,0.92443,0.83112,0.88695,0.73648,0.92871,0.85138,0.90055,0.79654,0.67844,0.76059,0.73972,0.81534,0.005248,0.005248,0.005248
26,434.821,0.64296,0.87615,0.74015,1.10935,0.90645,0.83439,0.87979,0.72376,0.9259,0.8259,0.88607,0.77774,0.67167,0.76222,0.73459,0.8378,0.00505,0.00505,0.00505
27,446.767,0.66273,0.86204,0.72906,1.10217,0.93146,0.80892,0.87925,0.7119,0.94124,0.81741,0.88377,0.79169,0.76998,0.78421,0.74761,0.82263,0.004852,0.004852,0.004852
28,458.723,0.64255,0.84888,0.72381,1.10479,0.91846,0.81953,0.88526,0.73023,0.92617,0.82378,0.89335,0.78775,0.70145,0.82129,0.71741,0.8302,0.004654,0.004654,0.004654
29,470.574,0.63493,0.85538,0.7262,1.10202,0.89637,0.8535,0.89745,0.73254,0.90276,0.85987,0.9044,0.79562,0.68475,0.77422,0.68332,0.80716,0.004456,0.004456,0.004456
30,482.439,0.61884,0.84203,0.7154,1.09765,0.91039,0.84124,0.89788,0.74698,0.94048,0.84076,0.90462,0.80474,0.6433,0.74737,0.68305,0.81098,0.004258,0.004258,0.004258
31,494.428,0.61808,0.76846,0.70656,1.08994,0.95145,0.85563,0.90751,0.75746,0.95177,0.85563,0.90803,0.81198,0.6163,0.81989,0.64462,0.78007,0.00406,0.00406,0.00406
32,506.551,0.60876,0.80217,0.69367,1.0945,0.92541,0.84295,0.90197,0.75396,0.93458,0.84289,0.90728,0.80165,0.64623,0.76557,0.66628,0.78845,0.003862,0.003862,0.003862
