epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.24,0.88217,1.66926,1.57356,1.26075,0.59226,0.5952,0.54395,0.33792,0.59377,0.59236,0.5423,0.39331,1.19137,2.20999,1.7866,1.18761,0.0734503,0.00663743,0.00663743
2,154.851,0.91972,1.58399,1.27743,1.25704,0.78392,0.65471,0.71103,0.48943,0.79154,0.66107,0.70874,0.53463,1.1423,2.26002,1.36528,1.22321,0.0465202,0.0130407,0.0130407
3,170.102,1.00523,1.72661,1.26011,1.28099,0.47073,0.44374,0.41407,0.24081,0.44076,0.41826,0.35906,0.20122,1.35507,3.71505,1.9322,1.35697,0.0193261,0.0191799,0.0191799
4,185.557,1.04153,1.72623,1.24798,1.31532,0.66929,0.57325,0.5439,0.26839,0.72135,0.61783,0.60208,0.40679,1.68351,2.37267,1.60668,1.44308,0.018812,0.018812,0.018812
5,201.065,1.03306,1.64181,1.19694,1.30248,0.79929,0.68153,0.76681,0.5444,0.80258,0.68188,0.76281,0.58543,1.01343,1.9071,1.33741,1.05886,0.018416,0.018416,0.018416
6,216.414,0.98581,1.57141,1.15368,1.2791,0.75532,0.72824,0.75903,0.48737,0.78183,0.71762,0.76321,0.56678,1.08971,1.28847,1.23804,1.076,0.01802,0.01802,0.01802
7,231.62,0.95924,1.48312,1.09183,1.26371,0.84671,0.78769,0.81497,0.5826,0.849,0.78981,0.8413,0.68795,0.9311,1.14568,1.11069,1.01883,0.017624,0.017624,0.017624
8,247.301,0.93755,1.41229,1.06714,1.25846,0.85583,0.7436,0.8146,0.58775,0.87538,0.76059,0.84184,0.68186,0.96798,1.11286,1.07227,1.02008,0.017228,0.017228,0.017228
9,262.835,0.93619,1.41498,1.04586,1.25791,0.78913,0.69214,0.75698,0.53373,0.81218,0.71762,0.78553,0.61594,0.99782,1.29993,1.20944,1.02489,0.016832,0.016832,0.016832
10,278.048,0.92243,1.35026,1.02628,1.24833,0.85356,0.77964,0.83385,0.5619,0.86173,0.7807,0.83702,0.66638,1.16911,1.1163,1.03787,1.07509,0.016436,0.016436,0.016436
11,293.29,0.88902,1.38518,1.00126,1.23586,0.83647,0.77495,0.81318,0.61033,0.85076,0.78668,0.83551,0.67865,0.87089,1.10333,1.04337,0.95156,0.01604,0.01604,0.01604
