epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.685,0.85498,1.76279,1.6295,1.25001,0.83176,0.67941,0.76503,0.54756,0.83102,0.6879,0.77134,0.59746,1.03512,1.75979,1.63575,1.06648,0.0735673,0.00660819,0.00660819
2,148.082,0.88647,1.52653,1.2299,1.23139,0.70374,0.63545,0.67991,0.45249,0.80804,0.58985,0.68073,0.46834,1.14061,2.26237,1.64967,1.1626,0.0466377,0.013012,0.013012
3,160.086,1.00893,1.68457,1.23726,1.28105,0.38362,0.30149,0.26891,0.12867,0.3863,0.33278,0.28061,0.13753,1.54964,2.66352,2.72244,1.5328,0.0194442,0.0191518,0.0191518
4,171.964,1.04296,1.71972,1.23836,1.30998,0.50709,0.58174,0.44908,0.23464,0.61841,0.61589,0.53606,0.32613,1.5246,1.60935,1.96618,1.44914,0.018812,0.018812,0.018812
5,183.926,1.00524,1.53648,1.17166,1.28206,0.57746,0.65285,0.58634,0.36593,0.63786,0.56688,0.56132,0.36877,1.16827,2.2554,1.77175,1.17853,0.018416,0.018416,0.018416
6,195.838,1.001,1.56471,1.14661,1.28262,0.44603,0.47346,0.39943,0.23331,0.53254,0.42811,0.40267,0.26618,1.65556,3.15459,1.85812,1.59479,0.01802,0.01802,0.01802
7,207.87,0.95033,1.43005,1.08363,1.2554,0.8281,0.71975,0.77967,0.53995,0.85488,0.73795,0.79898,0.6296,1.14319,1.31287,1.22512,1.13527,0.017624,0.017624,0.017624
8,219.938,0.93528,1.36938,1.05519,1.24994,0.823,0.76008,0.83825,0.58221,0.82989,0.76645,0.84414,0.67077,0.96794,1.11111,1.11503,0.99901,0.017228,0.017228,0.017228
9,231.978,0.91063,1.35869,1.01386,1.24259,0.87761,0.76122,0.82509,0.60478,0.88149,0.75799,0.82636,0.64317,0.92885,1.32856,1.0201,1.00794,0.016832,0.016832,0.016832
10,244.003,0.89539,1.33701,0.98565,1.21991,0.79609,0.76433,0.82005,0.61204,0.82058,0.76008,0.82471,0.6606,0.90021,1.20497,1.19138,0.93566,0.016436,0.016436,0.016436
11,256.139,0.86951,1.26719,0.97062,1.21924,0.87236,0.81104,0.84813,0.63431,0.88149,0.81953,0.85681,0.72682,0.88361,0.99369,0.93067,0.96134,0.01604,0.01604,0.01604
12,268.185,0.85714,1.26751,0.95572,1.21222,0.88661,0.80255,0.86249,0.65124,0.89599,0.81104,0.87191,0.73254,0.88383,1.19228,0.88327,0.95002,0.015644,0.015644,0.015644
13,280.192,0.84388,1.17611,0.92981,1.19984,0.89457,0.7707,0.85331,0.66274,0.89978,0.7815,0.86594,0.72989,0.84843,1.04466,0.89692,0.95611,0.015248,0.015248,0.015248
14,292.229,0.82868,1.19851,0.92821,1.19813,0.8379,0.81104,0.83996,0.64919,0.85457,0.81741,0.85564,0.70751,0.8017,0.99554,0.92972,0.90844,0.014852,0.014852,0.014852
15,304.205,0.82271,1.1792,0.89376,1.19266,0.83155,0.77558,0.8014,0.59703,0.84045,0.76433,0.80336,0.69335,0.96986,0.94923,1.14759,0.99431,0.014456,0.014456,0.014456
16,316.219,0.78954,1.21953,0.8828,1.17395,0.884,0.79279,0.85389,0.66583,0.8911,0.79916,0.86658,0.72972,0.80545,1.08955,0.89008,0.89435,0.01406,0.01406,0.01406
17,328.238,0.79521,1.11051,0.88013,1.18473,0.86934,0.84754,0.88358,0.7035,0.87621,0.8416,0.89431,0.78056,0.7621,0.89887,0.7359,0.86973,0.013664,0.013664,0.013664
18,340.144,0.77294,1.07423,0.83865,1.16042,0.88605,0.82549,0.86829,0.66257,0.89493,0.83439,0.87952,0.74392,0.86845,0.96678,0.78919,0.95045,0.013268,0.013268,0.013268
19,352.007,0.77994,1.06907,0.84767,1.17185,0.91362,0.85332,0.88796,0.70968,0.92161,0.85138,0.89754,0.77674,0.7568,0.92097,0.75711,0.86604,0.012872,0.012872,0.012872
20,364.024,0.75897,1.05043,0.84306,1.16435,0.87817,0.8111,0.8779,0.67454,0.8898,0.80892,0.88329,0.73817,0.86525,0.90256,0.83408,0.95552,0.012476,0.012476,0.012476
21,375.977,0.75146,1.09018,0.82403,1.15658,0.919,0.79491,0.8688,0.70296,0.92882,0.8034,0.87658,0.76046,0.74458,1.02319,0.79311,0.8529,0.01208,0.01208,0.01208
22,387.927,0.75618,1.10327,0.82616,1.16109,0.88823,0.84362,0.89226,0.73765,0.90584,0.83743,0.89469,0.79409,0.69054,0.91045,0.72928,0.82201,0.011684,0.011684,0.011684
23,399.92,0.74547,1.03264,0.8086,1.15538,0.88052,0.81365,0.87402,0.68995,0.89466,0.81147,0.88092,0.7494,0.75767,0.92772,0.80255,0.84909,0.011288,0.011288,0.011288
24,411.89,0.73217,1.031,0.80565,1.14679,0.91356,0.82378,0.87742,0.69317,0.92492,0.8259,0.88854,0.75383,0.7546,0.96051,0.77361,0.8547,0.010892,0.010892,0.010892
25,423.845,0.73438,1.03706,0.79895,1.15296,0.91714,0.82803,0.87974,0.7116,0.93497,0.82803,0.88373,0.78751,0.73424,0.9161,0.78747,0.86361,0.010496,0.010496,0.010496
26,435.771,0.69745,0.99154,0.77596,1.13582,0.9034,0.85138,0.88741,0.72842,0.91121,0.85775,0.89774,0.77932,0.71949,0.8856,0.74493,0.85347,0.0101,0.0101,0.0101
27,447.691,0.71893,0.98147,0.76613,1.13233,0.91828,0.85892,0.90417,0.74323,0.92282,0.86317,0.91135,0.80682,0.67708,0.80045,0.66092,0.80927,0.009704,0.009704,0.009704
28,459.684,0.69408,0.95746,0.7566,1.13296,0.95816,0.79618,0.89093,0.72152,0.95936,0.80188,0.8931,0.78768,0.71446,0.88534,0.72806,0.8339,0.009308,0.009308,0.009308
29,471.537,0.67616,0.96749,0.74755,1.12339,0.93846,0.80938,0.87968,0.71978,0.93469,0.80892,0.87873,0.77907,0.69432,0.92825,0.75511,0.82111,0.008912,0.008912,0.008912
30,483.445,0.66918,0.93571,0.74844,1.12443,0.91685,0.86625,0.90228,0.73848,0.9242,0.85421,0.90546,0.80227,0.69601,0.75333,0.69138,0.8335,0.008516,0.008516,0.008516
31,495.353,0.65977,0.86829,0.72699,1.11134,0.93496,0.85464,0.91034,0.74181,0.93961,0.85889,0.91317,0.80593,0.69597,0.83229,0.66305,0.81551,0.00812,0.00812,0.00812
32,507.33,0.65396,0.89786,0.72664,1.11954,0.9343,0.84544,0.90502,0.75072,0.93897,0.84932,0.91288,0.79866,0.67075,0.80306,0.68521,0.82521,0.007724,0.007724,0.007724
33,519.203,0.6603,0.92473,0.73786,1.11498,0.95251,0.83227,0.90129,0.74183,0.95542,0.82378,0.90465,0.80803,0.66063,0.75376,0.70443,0.80287,0.007328,0.007328,0.007328
34,531.021,0.64903,0.89375,0.72473,1.11024,0.93401,0.84501,0.89708,0.7448,0.94531,0.8535,0.91064,0.8155,0.64111,0.81843,0.67786,0.80754,0.006932,0.006932,0.006932
35,542.977,0.64019,0.86968,0.70277,1.10929,0.90447,0.86442,0.91102,0.76103,0.95945,0.83227,0.91962,0.81907,0.66483,0.77678,0.64062,0.81282,0.006536,0.006536,0.006536
36,558.079,0.62988,0.84437,0.69489,1.10778,0.92412,0.85326,0.90935,0.7485,0.92793,0.85775,0.91566,0.79793,0.65677,0.78451,0.71329,0.80759,0.00614,0.00614,0.00614
37,570.035,0.62872,0.86179,0.6981,1.10294,0.93993,0.83055,0.89003,0.74136,0.95313,0.83652,0.89707,0.78555,0.6807,0.87671,0.68813,0.82606,0.005744,0.005744,0.005744
38,581.872,0.6048,0.81135,0.67312,1.08726,0.91522,0.87261,0.91579,0.7669,0.92953,0.86815,0.91775,0.81979,0.63093,0.79453,0.6402,0.78655,0.005348,0.005348,0.005348
39,593.822,0.61066,0.84125,0.6779,1.08964,0.94703,0.84076,0.90316,0.75514,0.96141,0.84638,0.91305,0.81224,0.62857,0.76428,0.65153,0.77423,0.004952,0.004952,0.004952
40,605.749,0.61089,0.84227,0.66599,1.09031,0.92138,0.85563,0.90126,0.72281,0.92896,0.862,0.90904,0.79387,0.70478,0.81488,0.66685,0.82475,0.004556,0.004556,0.004556
41,618.798,0.52301,0.67346,0.55057,1.09305,0.94925,0.81953,0.89533,0.74697,0.94897,0.8291,0.90336,0.79717,0.63979,0.77231,0.67516,0.79947,0.00416,0.00416,0.00416
42,630.764,0.49995,0.64031,0.48688,1.08086,0.93845,0.84159,0.89995,0.75248,0.94554,0.84778,0.90867,0.80536,0.62474,0.75103,0.62275,0.78743,0.003764,0.003764,0.003764
43,642.618,0.47789,0.62952,0.48338,1.06492,0.93257,0.85987,0.9128,0.76809,0.94505,0.85138,0.91523,0.81765,0.61903,0.74545,0.61567,0.76848,0.003368,0.003368,0.003368
44,654.362,0.47235,0.61199,0.4549,1.05484,0.94051,0.83919,0.90725,0.76613,0.96783,0.83034,0.91703,0.81121,0.61482,0.74093,0.60824,0.77655,0.002972,0.002972,0.002972
