epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.303,0.85989,1.79634,1.78722,1.2731,0.82315,0.76008,0.79549,0.61617,0.81724,0.75584,0.79502,0.68096,0.81919,1.03067,1.57484,0.9647,0.0684722,0.00165936,0.00165936
2,155.124,0.77263,1.29032,1.26559,1.19512,0.88727,0.78556,0.8507,0.66261,0.9102,0.79193,0.86414,0.74266,0.80461,0.91984,1.17675,0.90875,0.0367397,0.00326017,0.00326017
3,170.548,0.77428,1.24202,1.14327,1.17255,0.77564,0.72664,0.73491,0.53724,0.78898,0.74618,0.75419,0.61962,0.97446,1.18652,1.3109,1.04337,0.00494118,0.00479498,0.00479498
4,185.928,0.76071,1.21878,1.07376,1.16672,0.86009,0.78311,0.81824,0.61143,0.88561,0.80544,0.85027,0.72849,0.83623,1.08309,1.16966,0.94602,0.004703,0.004703,0.004703
5,201.417,0.76018,1.19883,1.04444,1.17036,0.8949,0.78556,0.82948,0.61679,0.91489,0.78556,0.84237,0.71771,0.83724,0.87379,1.16105,0.93876,0.004604,0.004604,0.004604
6,216.646,0.74738,1.15176,1.01474,1.15854,0.92631,0.77401,0.85426,0.66191,0.92982,0.80679,0.86698,0.73465,0.83195,0.96536,0.99087,0.93098,0.004505,0.004505,0.004505
7,231.797,0.72452,1.11377,0.96314,1.15496,0.88797,0.80892,0.87274,0.69379,0.92697,0.81104,0.88988,0.76467,0.73755,0.80588,0.92665,0.87858,0.004406,0.004406,0.004406
8,247.182,0.72124,1.08565,0.96511,1.15309,0.92274,0.81146,0.8985,0.67593,0.94057,0.8259,0.90598,0.77991,0.84015,0.7478,1.00031,0.88593,0.004307,0.004307,0.004307
9,262.653,0.72812,1.06888,0.94654,1.15325,0.91319,0.79618,0.86961,0.68356,0.94515,0.80486,0.88917,0.76922,0.73089,0.77536,0.9747,0.85572,0.004208,0.004208,0.004208
10,277.813,0.70674,1.04103,0.93164,1.14361,0.90831,0.82803,0.88533,0.71515,0.93628,0.81741,0.89323,0.78875,0.73773,0.77855,0.89375,0.8542,0.004109,0.004109,0.004109
11,293.274,0.70838,1.07108,0.91133,1.14091,0.92698,0.80042,0.87697,0.69668,0.93757,0.79708,0.88402,0.77644,0.76665,0.8088,0.86777,0.85254,0.00401,0.00401,0.00401
12,308.662,0.69003,0.98223,0.8897,1.13414,0.90772,0.84713,0.89297,0.71901,0.9191,0.85775,0.90545,0.79515,0.71452,0.77222,0.83316,0.83972,0.003911,0.003911,0.003911
13,324.223,0.69541,1.01467,0.89025,1.13517,0.90249,0.8259,0.88567,0.70163,0.90945,0.83227,0.89474,0.76905,0.71907,0.80472,0.84579,0.84915,0.003812,0.003812,0.003812
14,339.372,0.67794,0.99335,0.87327,1.12972,0.90584,0.81529,0.88798,0.70222,0.93216,0.80892,0.89903,0.78324,0.70782,0.789,0.87075,0.83747,0.003713,0.003713,0.003713
15,354.447,0.68271,0.95579,0.85499,1.12515,0.92589,0.82223,0.87358,0.70619,0.91567,0.83652,0.88722,0.78187,0.73045,0.82609,0.8818,0.84727,0.003614,0.003614,0.003614
16,369.689,0.66845,1.00777,0.85954,1.12775,0.90685,0.82681,0.87899,0.69938,0.90197,0.84289,0.88821,0.76766,0.79066,0.83998,0.84396,0.89377,0.003515,0.003515,0.003515
17,385.098,0.66807,0.94731,0.85721,1.12362,0.92725,0.81188,0.8816,0.721,0.93437,0.81616,0.89083,0.7901,0.7294,0.81073,0.80797,0.83187,0.003416,0.003416,0.003416
18,400.426,0.66049,0.93693,0.82096,1.11795,0.94198,0.82728,0.88881,0.74238,0.95895,0.8431,0.8998,0.80005,0.66229,0.80285,0.77596,0.81098,0.003317,0.003317,0.003317
19,415.816,0.65225,0.89989,0.81678,1.11073,0.95752,0.81366,0.89083,0.72544,0.9713,0.82378,0.90391,0.79435,0.67531,0.77089,0.77712,0.81391,0.003218,0.003218,0.003218
20,431.299,0.65171,0.89696,0.80316,1.11893,0.95345,0.82627,0.88513,0.73093,0.96079,0.83232,0.89413,0.80175,0.68462,0.77401,0.85172,0.80824,0.003119,0.003119,0.003119
21,446.624,0.63427,0.88978,0.79728,1.10534,0.93803,0.7983,0.86815,0.69986,0.95824,0.81529,0.89265,0.77849,0.70198,0.80514,0.76357,0.81472,0.00302,0.00302,0.00302
22,461.783,0.64361,0.89435,0.79198,1.11234,0.94593,0.84501,0.89781,0.72704,0.9515,0.84926,0.90127,0.80071,0.66977,0.75567,0.75717,0.80046,0.002921,0.002921,0.002921
23,476.88,0.63141,0.85715,0.78516,1.10535,0.93605,0.83015,0.90052,0.74718,0.95034,0.83864,0.90908,0.80852,0.64844,0.7149,0.71256,0.81139,0.002822,0.002822,0.002822
24,492.574,0.63036,0.8761,0.78277,1.10536,0.91712,0.84584,0.8812,0.73648,0.92241,0.85815,0.89899,0.79666,0.63695,0.75178,0.74844,0.78846,0.002723,0.002723,0.002723
25,510.953,0.63759,0.85912,0.7725,1.10656,0.91543,0.87473,0.91621,0.7577,0.91987,0.87898,0.92475,0.81198,0.64081,0.70577,0.6937,0.78918,0.002624,0.002624,0.002624
26,526.275,0.61097,0.85071,0.74697,1.0978,0.92055,0.83652,0.89185,0.73579,0.93481,0.85241,0.90286,0.78291,0.65646,0.7666,0.71079,0.797,0.002525,0.002525,0.002525
27,541.54,0.59731,0.81426,0.73302,1.08421,0.92469,0.86034,0.91959,0.77233,0.93096,0.86412,0.92701,0.82485,0.59761,0.67363,0.6589,0.77767,0.002426,0.002426,0.002426
28,557.001,0.60759,0.7888,0.7563,1.08939,0.94472,0.84713,0.90157,0.76223,0.94992,0.85138,0.90226,0.81003,0.6176,0.73859,0.68239,0.79712,0.002327,0.002327,0.002327
29,572.356,0.60085,0.79648,0.72902,1.09175,0.91852,0.8811,0.91856,0.75714,0.9283,0.87961,0.92447,0.81839,0.63763,0.6875,0.65293,0.78513,0.002228,0.002228,0.002228
30,587.559,0.59076,0.7979,0.73334,1.08726,0.91672,0.84137,0.89432,0.76512,0.92365,0.84757,0.8999,0.80312,0.60305,0.71678,0.67898,0.7894,0.002129,0.002129,0.002129
31,602.78,0.5851,0.79194,0.71789,1.08153,0.9628,0.82429,0.90383,0.76556,0.96776,0.82854,0.90713,0.81959,0.60446,0.75615,0.63029,0.78139,0.00203,0.00203,0.00203
32,618.007,0.60247,0.7915,0.72756,1.09459,0.96733,0.8172,0.89979,0.75974,0.95952,0.84076,0.9062,0.81671,0.60452,0.76081,0.64196,0.77268,0.001931,0.001931,0.001931
33,633.322,0.58507,0.82564,0.71109,1.08774,0.97152,0.83864,0.9053,0.76489,0.97898,0.84501,0.91146,0.81387,0.59495,0.73807,0.63515,0.77043,0.001832,0.001832,0.001832
34,648.712,0.58717,0.79613,0.72215,1.08674,0.93292,0.86624,0.91475,0.7655,0.95708,0.8522,0.9151,0.82437,0.6133,0.70116,0.63086,0.77357,0.001733,0.001733,0.001733
35,663.895,0.5808,0.72521,0.68938,1.0832,0.94774,0.84707,0.90953,0.76557,0.95487,0.85344,0.91617,0.82068,0.61079,0.69969,0.63912,0.7647,0.001634,0.001634,0.001634
