epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,136.027,0.91781,2.27969,2.10349,1.31036,0.7783,0.6327,0.78084,0.55639,0.78614,0.63907,0.78779,0.62142,0.74646,1.11734,2.30871,0.92146,0.0672895,0.000330409,0.000330409
2,148.516,0.77628,1.42887,1.57554,1.22754,0.8622,0.77051,0.8475,0.66412,0.86436,0.75372,0.84291,0.73673,0.7712,0.93414,1.59216,0.91989,0.0342763,0.000650601,0.000650601
3,160.748,0.73895,1.21413,1.31221,1.1839,0.8348,0.81529,0.85289,0.655,0.85652,0.83015,0.86842,0.75106,0.81785,0.82556,1.40383,0.92303,0.00124999,0.000957592,0.000957592
4,172.922,0.7092,1.12383,1.18894,1.15567,0.90631,0.82803,0.88827,0.71879,0.90462,0.8259,0.89289,0.79582,0.68739,0.77916,1.25516,0.85161,0.0009406,0.0009406,0.0009406
5,185.156,0.68011,1.0784,1.11997,1.13361,0.91398,0.8121,0.8873,0.7255,0.92775,0.81316,0.89337,0.79845,0.67866,0.77193,1.19306,0.8322,0.0009208,0.0009208,0.0009208
6,197.351,0.66553,1.05149,1.0895,1.12729,0.89173,0.81741,0.87636,0.6964,0.89827,0.82491,0.8795,0.78033,0.73167,0.7922,1.19176,0.85998,0.000901,0.000901,0.000901
7,209.338,0.63445,0.94639,1.03029,1.11266,0.90203,0.82107,0.88449,0.71242,0.91372,0.83192,0.89521,0.79614,0.70701,0.75949,1.13123,0.83311,0.0008812,0.0008812,0.0008812
8,221.313,0.63939,0.94332,1.01403,1.11641,0.91432,0.83652,0.88588,0.71766,0.90641,0.84308,0.88863,0.80046,0.68998,0.81524,1.08075,0.82548,0.0008614,0.0008614,0.0008614
9,233.342,0.64045,0.98638,0.99829,1.1148,0.90198,0.82803,0.88657,0.72844,0.90784,0.83227,0.89251,0.79636,0.67649,0.74403,1.08707,0.82768,0.0008416,0.0008416,0.0008416
10,245.617,0.63015,0.94989,0.97889,1.10469,0.92451,0.81104,0.88713,0.74539,0.93326,0.82378,0.89288,0.8036,0.64279,0.71376,1.04984,0.81724,0.0008218,0.0008218,0.0008218
11,257.866,0.60773,0.95146,0.95685,1.10282,0.87438,0.82761,0.87843,0.7309,0.88092,0.83247,0.88246,0.79104,0.65615,0.79475,1.03157,0.81453,0.000802,0.000802,0.000802
12,269.862,0.61342,0.93146,0.95692,1.10459,0.91391,0.83227,0.89184,0.73109,0.93465,0.84076,0.89721,0.80798,0.65751,0.75404,1.0166,0.81717,0.0007822,0.0007822,0.0007822
13,281.855,0.60839,0.8687,0.92768,1.09744,0.9384,0.80859,0.89256,0.7426,0.93485,0.81953,0.89493,0.80606,0.65543,0.7675,0.96403,0.80969,0.0007624,0.0007624,0.0007624
14,294.007,0.59217,0.87961,0.92505,1.09634,0.91291,0.8259,0.88406,0.72483,0.92237,0.83247,0.88786,0.79844,0.66887,0.8609,1.0256,0.80837,0.0007426,0.0007426,0.0007426
