epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.241,0.8529,1.68433,1.67657,1.26379,0.82434,0.75372,0.79465,0.56719,0.83011,0.7677,0.80624,0.67344,0.91753,0.99843,1.45065,1.01949,0.0701316,0.00331871,0.00331871
2,155.014,0.81479,1.32425,1.22795,1.21097,0.88514,0.78538,0.83868,0.66817,0.88803,0.78132,0.84513,0.68266,0.78561,1.33024,1.10956,0.91777,0.0399999,0.00652034,0.00652034
3,170.51,0.84971,1.37805,1.16563,1.20812,0.65803,0.62097,0.65066,0.43074,0.66502,0.63225,0.64841,0.48521,1.08409,1.52444,1.61217,1.10987,0.00973616,0.00958996,0.00958996
4,185.874,0.87086,1.44661,1.13028,1.22504,0.81091,0.67091,0.76634,0.51417,0.83256,0.67941,0.75982,0.58827,1.06847,2.26701,1.30509,1.09778,0.009406,0.009406,0.009406
5,201.374,0.86937,1.34841,1.10337,1.22078,0.83641,0.80467,0.83709,0.61632,0.8484,0.82378,0.84823,0.69941,0.87619,0.98149,1.19562,0.96743,0.009208,0.009208,0.009208
6,216.62,0.8467,1.31198,1.07807,1.20664,0.90992,0.81493,0.86816,0.63494,0.91924,0.82168,0.87627,0.72012,0.97064,0.98192,1.02974,1.02911,0.00901,0.00901,0.00901
7,231.959,0.82179,1.25603,1.00012,1.19393,0.86998,0.85235,0.87442,0.67752,0.88355,0.85379,0.88426,0.74839,0.81785,0.89551,0.90077,0.93171,0.008812,0.008812,0.008812
8,247.509,0.81808,1.20507,1.00203,1.19948,0.89422,0.79406,0.86039,0.64199,0.91619,0.81316,0.87982,0.7311,0.84361,0.91267,1.05394,0.91128,0.008614,0.008614,0.008614
9,262.945,0.81339,1.25074,0.97975,1.19001,0.88319,0.81529,0.86132,0.65089,0.89929,0.83015,0.87988,0.7492,0.78501,0.8225,0.94421,0.89971,0.008416,0.008416,0.008416
10,278.194,0.80871,1.15172,0.97594,1.19107,0.92843,0.80892,0.86848,0.65652,0.93537,0.81529,0.87203,0.73151,0.87094,1.0751,0.99416,0.92241,0.008218,0.008218,0.008218
11,293.445,0.78887,1.22268,0.93304,1.18339,0.88238,0.78344,0.83938,0.64515,0.88477,0.78556,0.83998,0.70511,0.78024,0.9277,0.97052,0.89345,0.00802,0.00802,0.00802
12,308.82,0.777,1.11758,0.935,1.17343,0.91781,0.82803,0.88409,0.68653,0.93797,0.82166,0.89261,0.7836,0.77581,0.84361,0.86571,0.8808,0.007822,0.007822,0.007822
13,324.242,0.77949,1.13018,0.92148,1.1784,0.89635,0.83439,0.88561,0.68291,0.90361,0.83439,0.89174,0.7669,0.79003,0.86777,0.85743,0.87501,0.007624,0.007624,0.007624
14,339.462,0.75644,1.10471,0.90447,1.16495,0.9338,0.80864,0.87935,0.71733,0.94361,0.81714,0.89456,0.78079,0.71434,0.81416,0.7975,0.8524,0.007426,0.007426,0.007426
15,354.736,0.75028,1.0752,0.88824,1.16011,0.88027,0.81953,0.86795,0.68431,0.91133,0.80743,0.87812,0.74448,0.79564,0.92704,0.83596,0.90542,0.007228,0.007228,0.007228
16,370.121,0.74047,1.09409,0.88811,1.1629,0.8916,0.83864,0.86037,0.69472,0.90038,0.84436,0.88014,0.76682,0.73237,0.83818,0.85574,0.85718,0.00703,0.00703,0.00703
17,385.541,0.73548,1.05886,0.87439,1.1543,0.94526,0.80662,0.88521,0.71205,0.95024,0.81087,0.89473,0.78695,0.74448,0.8355,0.74122,0.85083,0.006832,0.006832,0.006832
18,401.114,0.72554,1.04367,0.84954,1.1479,0.91078,0.81316,0.87298,0.70207,0.93669,0.83015,0.89426,0.78191,0.70874,0.79442,0.77443,0.8335,0.006634,0.006634,0.006634
19,416.49,0.72055,1.00109,0.83482,1.14609,0.92234,0.80688,0.86548,0.68669,0.92749,0.81104,0.87292,0.74581,0.75713,0.91323,0.80449,0.8625,0.006436,0.006436,0.006436
20,431.857,0.71261,1.02365,0.8253,1.1488,0.93213,0.82166,0.88431,0.72224,0.93839,0.82803,0.89085,0.7857,0.75219,0.87696,0.73748,0.84313,0.006238,0.006238,0.006238
21,447.325,0.69646,0.96688,0.81932,1.13768,0.90547,0.79618,0.87614,0.70926,0.91995,0.80892,0.89037,0.76932,0.72702,0.82033,0.76302,0.8485,0.00604,0.00604,0.00604
22,462.513,0.70108,0.96807,0.8164,1.14005,0.92473,0.82803,0.88292,0.69885,0.93061,0.83227,0.89076,0.77714,0.70329,0.81093,0.75231,0.82198,0.005842,0.005842,0.005842
23,477.719,0.69469,0.95875,0.81404,1.1364,0.90294,0.82803,0.87989,0.70392,0.91335,0.83439,0.89098,0.78974,0.72561,0.77969,0.75691,0.85566,0.005644,0.005644,0.005644
24,493.094,0.68389,0.95618,0.79826,1.12944,0.94291,0.77139,0.84191,0.69126,0.96891,0.794,0.86394,0.75602,0.72188,0.80609,0.886,0.82385,0.005446,0.005446,0.005446
25,508.364,0.69094,0.94745,0.78424,1.12751,0.89984,0.85987,0.9029,0.74184,0.9223,0.85682,0.91077,0.80815,0.69063,0.71453,0.69022,0.82068,0.005248,0.005248,0.005248
26,523.874,0.66888,0.93148,0.76402,1.12449,0.88233,0.8535,0.88927,0.73102,0.88933,0.85775,0.89076,0.78121,0.72376,0.85552,0.72292,0.84595,0.00505,0.00505,0.00505
27,539.114,0.65023,0.89049,0.73847,1.10694,0.94238,0.84501,0.90948,0.75634,0.94904,0.84926,0.91374,0.81278,0.64825,0.72417,0.65056,0.81176,0.004852,0.004852,0.004852
28,554.431,0.66418,0.87296,0.77102,1.11417,0.93592,0.83722,0.90451,0.75381,0.97095,0.82378,0.91096,0.81083,0.61567,0.73605,0.65292,0.79122,0.004654,0.004654,0.004654
29,569.679,0.64869,0.85378,0.74474,1.10954,0.94066,0.84142,0.90347,0.74245,0.94775,0.84731,0.9089,0.80528,0.66537,0.72741,0.66403,0.81065,0.004456,0.004456,0.004456
30,584.976,0.63361,0.86208,0.73087,1.1018,0.91364,0.85358,0.89859,0.75038,0.94543,0.83864,0.90887,0.80523,0.63439,0.71828,0.64135,0.79937,0.004258,0.004258,0.004258
31,600.258,0.6355,0.83639,0.72663,1.10256,0.93317,0.84076,0.89706,0.74691,0.93602,0.8387,0.9048,0.81832,0.64672,0.70987,0.65648,0.7951,0.00406,0.00406,0.00406
32,615.566,0.64101,0.84466,0.72635,1.11398,0.93923,0.85312,0.89337,0.74367,0.94378,0.8554,0.90204,0.8042,0.67561,0.77076,0.67221,0.8116,0.003862,0.003862,0.003862
33,630.842,0.62038,0.8874,0.72645,1.10511,0.94858,0.82243,0.87982,0.74729,0.96039,0.82367,0.89147,0.79153,0.66413,0.82256,0.67265,0.81013,0.003664,0.003664,0.003664
34,645.978,0.62484,0.84178,0.73131,1.10189,0.92888,0.85957,0.90916,0.76377,0.93576,0.86594,0.91802,0.81997,0.64091,0.70805,0.63292,0.78092,0.003466,0.003466,0.003466
35,661.229,0.61512,0.79346,0.69675,1.104,0.95414,0.8393,0.89612,0.74677,0.96211,0.84076,0.90598,0.807,0.67155,0.74209,0.65822,0.79986,0.003268,0.003268,0.003268
36,676.646,0.60551,0.82459,0.69743,1.09298,0.94449,0.84926,0.90877,0.7502,0.95157,0.85563,0.91508,0.8092,0.63003,0.71734,0.63357,0.79006,0.00307,0.00307,0.00307
37,691.97,0.59477,0.81161,0.70068,1.09134,0.92935,0.84713,0.89386,0.73058,0.93692,0.8535,0.90708,0.79478,0.67228,0.73571,0.6967,0.79865,0.002872,0.002872,0.002872
38,707.165,0.59729,0.79193,0.69318,1.09563,0.91199,0.862,0.91519,0.77732,0.9678,0.83015,0.91667,0.81254,0.59214,0.70219,0.61944,0.7731,0.002674,0.002674,0.002674
39,722.568,0.58522,0.78702,0.68185,1.08015,0.9504,0.8535,0.90665,0.77597,0.95253,0.85213,0.91275,0.82132,0.5983,0.68901,0.63475,0.75774,0.002476,0.002476,0.002476
40,738.001,0.57345,0.79926,0.68063,1.0821,0.93242,0.84948,0.9038,0.77499,0.93912,0.85987,0.91117,0.80943,0.57804,0.71265,0.60613,0.76325,0.002278,0.002278,0.002278
41,753.892,0.48952,0.62505,0.55873,1.0761,0.94305,0.84289,0.9089,0.77,0.95532,0.8535,0.92068,0.82239,0.59509,0.69473,0.61708,0.75483,0.00208,0.00208,0.00208
42,769.11,0.47516,0.60669,0.5007,1.07005,0.93823,0.84713,0.90492,0.76648,0.95014,0.85775,0.92344,0.81938,0.59695,0.66136,0.627,0.77143,0.001882,0.001882,0.001882
43,784.412,0.46057,0.57916,0.48502,1.06358,0.94337,0.84877,0.91395,0.77395,0.94573,0.85089,0.9183,0.82658,0.59516,0.65103,0.61898,0.7637,0.001684,0.001684,0.001684
44,799.859,0.44525,0.56883,0.47421,1.03961,0.92418,0.8535,0.91469,0.77399,0.92878,0.85775,0.92523,0.81962,0.58754,0.65516,0.58431,0.76941,0.001486,0.001486,0.001486
