epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.545,0.92451,1.78886,1.61972,1.29032,0.70427,0.76008,0.73019,0.52777,0.70969,0.77852,0.73253,0.58155,0.91678,1.05054,1.48209,1.02931,0.0733919,0.00665201,0.00665201
2,171.347,0.94514,1.71853,1.32445,1.27605,0.70219,0.60085,0.64407,0.40559,0.69253,0.58819,0.62917,0.45535,1.26242,2.12361,1.64782,1.25011,0.0464616,0.013055,0.013055
3,195.114,1.04248,1.84451,1.32304,1.31831,0.68358,0.569,0.60222,0.33254,0.72902,0.54565,0.57934,0.36329,1.47441,3.88897,1.64401,1.48181,0.0192672,0.0191939,0.0191939
4,218.461,1.09558,1.855,1.34483,1.34484,0.80544,0.77345,0.78784,0.5129,0.7988,0.76709,0.77144,0.59256,1.05904,1.41479,1.38162,1.07044,0.018812,0.018812,0.018812
5,242.111,1.06021,1.76458,1.2697,1.32546,0.59993,0.62208,0.52108,0.30273,0.62816,0.63126,0.53142,0.34729,1.265,1.43564,1.63071,1.24335,0.018416,0.018416,0.018416
6,265.792,1.04056,1.62451,1.22138,1.31785,0.75222,0.65101,0.72129,0.47001,0.81757,0.72312,0.78224,0.60875,1.14212,1.61441,1.38319,1.12567,0.01802,0.01802,0.01802
7,289.199,0.99225,1.57542,1.16558,1.30094,0.84843,0.79193,0.84699,0.59363,0.88113,0.80467,0.86114,0.67471,0.96228,1.02321,1.07585,1.04982,0.017624,0.017624,0.017624
8,312.861,0.98033,1.52923,1.13957,1.28693,0.85129,0.75352,0.80524,0.59968,0.86503,0.76008,0.82273,0.6509,0.90374,1.24138,1.68263,0.99799,0.017228,0.017228,0.017228
9,335.962,0.94791,1.44322,1.09692,1.27429,0.87474,0.80679,0.84254,0.58313,0.87409,0.81069,0.84454,0.70099,1.02398,1.13824,1.02378,1.01683,0.016832,0.016832,0.016832
10,359.596,0.92767,1.42742,1.09048,1.26043,0.86367,0.73461,0.78489,0.54846,0.87209,0.73824,0.79827,0.63837,1.0148,1.17469,1.12328,1.05449,0.016436,0.016436,0.016436
11,383.108,0.91109,1.39416,1.05591,1.26187,0.91465,0.81904,0.87439,0.61879,0.92837,0.79406,0.87594,0.73488,0.95892,1.10274,0.95815,0.98153,0.01604,0.01604,0.01604
12,406.347,0.89263,1.37128,1.01262,1.24188,0.88596,0.8259,0.86033,0.65649,0.89356,0.82803,0.86599,0.73079,0.85246,1.05364,0.89367,0.95191,0.015644,0.015644,0.015644
13,429.986,0.88926,1.32078,1.03226,1.24625,0.89216,0.80255,0.86558,0.65987,0.92943,0.80255,0.88062,0.73105,0.80124,1.01463,0.84096,0.91865,0.015248,0.015248,0.015248
14,453.214,0.86082,1.29164,0.97705,1.22922,0.86365,0.79344,0.84259,0.6608,0.89799,0.80369,0.86182,0.736,0.81911,1.02176,0.93583,0.92521,0.014852,0.014852,0.014852
15,476.675,0.86233,1.23835,0.97547,1.22062,0.8794,0.81529,0.86645,0.66898,0.89796,0.83015,0.87838,0.75282,0.81617,1.07907,0.79513,0.90856,0.014456,0.014456,0.014456
16,500.043,0.83511,1.22667,0.95255,1.21085,0.92638,0.80679,0.8745,0.63339,0.93452,0.81104,0.87681,0.73008,0.92627,1.02205,0.86401,0.95119,0.01406,0.01406,0.01406
17,523.127,0.83204,1.24991,0.95571,1.20707,0.8233,0.82104,0.86826,0.65771,0.83792,0.83418,0.87735,0.74715,0.81815,0.87201,0.91492,0.90236,0.013664,0.013664,0.013664
18,546.645,0.83257,1.23715,0.95506,1.20542,0.87036,0.79618,0.84962,0.65072,0.88395,0.79618,0.85872,0.7138,0.8502,0.97754,0.91383,0.93961,0.013268,0.013268,0.013268
19,569.617,0.81123,1.20392,0.94803,1.20347,0.91581,0.80892,0.86862,0.66703,0.93026,0.82129,0.87553,0.74993,0.79644,0.99382,0.84118,0.89255,0.012872,0.012872,0.012872
20,592.897,0.8052,1.15061,0.91188,1.20653,0.92544,0.8169,0.87155,0.6701,0.93495,0.82395,0.88465,0.7563,0.82907,0.87471,0.81427,0.92575,0.012476,0.012476,0.012476
21,616.501,0.78194,1.15465,0.88177,1.18316,0.89167,0.78556,0.84399,0.6529,0.94067,0.77416,0.85183,0.73516,0.84933,0.90789,0.93688,0.9156,0.01208,0.01208,0.01208
22,639.608,0.78804,1.15976,0.88785,1.19175,0.90088,0.79115,0.83698,0.6559,0.90793,0.81953,0.86043,0.73591,0.80595,0.8969,0.84688,0.89847,0.011684,0.011684,0.011684
23,663.144,0.76635,1.13205,0.87445,1.17707,0.90519,0.84076,0.88912,0.70701,0.92023,0.83274,0.89804,0.77692,0.73577,0.78698,0.84229,0.86291,0.011288,0.011288,0.011288
24,686.607,0.7657,1.14131,0.86776,1.17809,0.88329,0.78344,0.82514,0.64593,0.88881,0.79765,0.84098,0.71899,0.79739,0.92569,0.9464,0.87747,0.010892,0.010892,0.010892
25,709.902,0.74912,1.11409,0.87017,1.16672,0.89396,0.80543,0.8586,0.67024,0.92112,0.81817,0.8801,0.75015,0.78291,0.84667,0.88814,0.86458,0.010496,0.010496,0.010496
26,733.368,0.73702,1.07475,0.82557,1.16824,0.90259,0.76645,0.84883,0.67562,0.92102,0.79231,0.86113,0.73891,0.71459,0.88926,0.78675,0.84503,0.0101,0.0101,0.0101
27,756.527,0.74336,1.05127,0.82526,1.16146,0.91654,0.81604,0.87741,0.71147,0.92082,0.83015,0.88534,0.78429,0.76432,0.85088,0.7898,0.85949,0.009704,0.009704,0.009704
28,780.112,0.73834,1.01636,0.83871,1.16271,0.93793,0.83015,0.89028,0.72473,0.9347,0.83439,0.89643,0.79702,0.70594,0.74606,0.7638,0.83719,0.009308,0.009308,0.009308
29,803.515,0.72435,1.02853,0.82936,1.15911,0.96211,0.80892,0.87466,0.71454,0.97107,0.81741,0.88582,0.77436,0.72665,0.86978,0.71746,0.86959,0.008912,0.008912,0.008912
30,826.988,0.70663,1.02902,0.79668,1.14781,0.926,0.8236,0.88539,0.72914,0.94089,0.81953,0.89294,0.78436,0.68063,0.81805,0.74625,0.836,0.008516,0.008516,0.008516
31,850.542,0.69894,0.97914,0.80088,1.14761,0.92248,0.84501,0.89835,0.73609,0.93473,0.85131,0.91255,0.80311,0.69971,0.73332,0.69635,0.83658,0.00812,0.00812,0.00812
32,873.813,0.70197,0.97533,0.79884,1.14838,0.94471,0.81529,0.89121,0.71282,0.95455,0.82378,0.8994,0.78725,0.74093,0.79308,0.68034,0.85711,0.007724,0.007724,0.007724
33,897.273,0.67993,0.95974,0.78084,1.1378,0.94965,0.81741,0.89095,0.73053,0.95705,0.82378,0.89693,0.79672,0.67979,0.78326,0.71483,0.80815,0.007328,0.007328,0.007328
34,920.761,0.70665,1.01763,0.79538,1.14784,0.91977,0.862,0.91049,0.74462,0.91801,0.85584,0.91417,0.8002,0.66714,0.76819,0.65617,0.81387,0.006932,0.006932,0.006932
