epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,705.562,0.60315,0.89614,0.89294,1.10498,0.89472,0.83227,0.89523,0.73693,0.90517,0.83864,0.90804,0.80857,0.64166,0.6549,0.87397,0.78204,0.0004258,0.0004258,0.0004258
31,728.733,0.59925,0.88765,0.89644,1.10268,0.90386,0.85836,0.90817,0.75979,0.91246,0.86412,0.91077,0.82456,0.59891,0.65688,0.83597,0.7699,0.000406,0.000406,0.000406
32,751.787,0.59763,0.85863,0.8933,1.10292,0.91568,0.83864,0.90152,0.75712,0.91568,0.83864,0.90479,0.81844,0.63221,0.65436,0.85665,0.7815,0.0003862,0.0003862,0.0003862
33,775.08,0.58952,0.83729,0.89313,1.09874,0.92952,0.84007,0.90212,0.75382,0.92419,0.85418,0.90641,0.81873,0.63217,0.6668,0.82806,0.7791,0.0003664,0.0003664,0.0003664
34,798.207,0.62222,0.89648,0.90926,1.11208,0.91291,0.83439,0.89682,0.73108,0.89884,0.84289,0.90091,0.80742,0.67896,0.68242,0.87343,0.78962,0.0003466,0.0003466,0.0003466
35,821.116,0.59881,0.85636,0.90432,1.10415,0.90899,0.84501,0.89531,0.73587,0.90899,0.84501,0.89782,0.80235,0.63886,0.66688,0.87061,0.78323,0.0003268,0.0003268,0.0003268
36,844.366,0.58273,0.86033,0.8696,1.09942,0.90665,0.84501,0.90628,0.75463,0.91133,0.85138,0.90821,0.81362,0.60244,0.63848,0.83388,0.7645,0.000307,0.000307,0.000307
37,867.5,0.59938,0.85211,0.88198,1.09999,0.90824,0.84063,0.90243,0.75437,0.91141,0.84501,0.90283,0.81098,0.60483,0.66248,0.83437,0.77072,0.0002872,0.0002872,0.0002872
38,890.581,0.58421,0.83839,0.86242,1.09644,0.90872,0.84713,0.8979,0.76557,0.90875,0.84577,0.9006,0.80952,0.58395,0.67245,0.82873,0.76969,0.0002674,0.0002674,0.0002674
39,914.091,0.59957,0.86182,0.86896,1.10242,0.90066,0.84696,0.90329,0.74968,0.90829,0.84108,0.90714,0.80837,0.59426,0.65657,0.83405,0.76616,0.0002476,0.0002476,0.0002476
40,937.043,0.58603,0.84066,0.86871,1.09356,0.91883,0.84076,0.90853,0.76462,0.92115,0.84289,0.90822,0.8192,0.59407,0.65421,0.81893,0.76357,0.0002278,0.0002278,0.0002278
41,960.477,0.54312,0.70603,1.06817,1.10825,0.91937,0.85138,0.91043,0.76951,0.92398,0.85152,0.90973,0.82564,0.55877,0.64451,0.94001,0.74544,0.000208,0.000208,0.000208
42,983.721,0.51077,0.65426,0.97031,1.09262,0.92221,0.85581,0.91622,0.76011,0.94093,0.85138,0.9163,0.8265,0.58785,0.6455,0.93902,0.75191,0.0001882,0.0001882,0.0001882
43,1006.75,0.50175,0.66245,0.92687,1.08283,0.93193,0.84294,0.9132,0.76619,0.93975,0.84713,0.9147,0.82272,0.56519,0.65091,0.91405,0.74297,0.0001684,0.0001684,0.0001684
44,1029.88,0.49169,0.67249,0.90529,1.07146,0.94676,0.83439,0.91804,0.7591,0.95453,0.83439,0.91624,0.81989,0.57489,0.65083,0.88746,0.74162,0.0001486,0.0001486,0.0001486
45,1052.74,0.478,0.64939,0.88879,1.06483,0.92318,0.85138,0.91618,0.7676,0.92548,0.8535,0.91326,0.82287,0.56053,0.65534,0.86657,0.74008,0.0001288,0.0001288,0.0001288
46,1075.81,0.47859,0.66407,0.87947,1.06893,0.91408,0.85138,0.91505,0.76814,0.91165,0.84926,0.91419,0.82483,0.57274,0.64947,0.87581,0.7421,0.000109,0.000109,0.000109
47,1098.78,0.48639,0.64276,0.87219,1.06736,0.93445,0.84749,0.92015,0.77841,0.93529,0.84713,0.92093,0.83193,0.54559,0.64107,0.85499,0.73105,8.92e-05,8.92e-05,8.92e-05
48,1121.69,0.48917,0.64609,0.87269,1.06782,0.93755,0.83864,0.91918,0.78375,0.94336,0.83864,0.91998,0.82938,0.54571,0.64414,0.85099,0.73111,6.94e-05,6.94e-05,6.94e-05
49,1145.31,0.47435,0.64747,0.8574,1.05773,0.90769,0.85593,0.91604,0.77075,0.94033,0.83227,0.91732,0.82478,0.56318,0.64753,0.85682,0.73646,4.96e-05,4.96e-05,4.96e-05
50,1168.27,0.46836,0.64283,0.85683,1.05682,0.92104,0.84926,0.91962,0.78405,0.947,0.83456,0.92017,0.82885,0.53573,0.64482,0.84205,0.72809,2.98e-05,2.98e-05,2.98e-05
