epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.743,0.9025,1.84611,1.69383,1.28972,0.86274,0.76065,0.82451,0.63226,0.86515,0.76278,0.8366,0.71399,0.80257,0.95137,1.41979,0.96672,0.0700659,0.00332601,0.00332601
2,171.896,0.84352,1.45785,1.27598,1.2221,0.78954,0.73279,0.79366,0.58644,0.81944,0.75158,0.81655,0.67733,0.86754,1.1796,1.29283,0.95604,0.0399341,0.00652749,0.00652749
3,195.118,0.87404,1.45987,1.19879,1.23104,0.85905,0.7707,0.83179,0.56818,0.8736,0.78556,0.8492,0.66892,1.06435,1.19688,1.16668,1.09718,0.00967022,0.00959696,0.00959696
4,218.627,0.91598,1.50586,1.22163,1.24928,0.84075,0.78132,0.82777,0.60384,0.87073,0.77707,0.83514,0.70318,0.93277,1.13132,1.24385,0.99684,0.009406,0.009406,0.009406
5,241.914,0.90731,1.47641,1.15312,1.24062,0.79831,0.70701,0.76024,0.46462,0.79882,0.74098,0.77723,0.59409,1.23047,1.22136,1.20257,1.17933,0.009208,0.009208,0.009208
6,264.953,0.88819,1.41968,1.14723,1.24135,0.83821,0.76645,0.8292,0.60875,0.87718,0.76858,0.85118,0.7121,0.87583,1.11168,1.08152,0.98149,0.00901,0.00901,0.00901
7,288.345,0.86537,1.33848,1.08445,1.22931,0.89337,0.80467,0.86004,0.64246,0.90522,0.82166,0.8664,0.74014,0.8792,0.92744,0.98607,0.94923,0.008812,0.008812,0.008812
8,311.484,0.84633,1.29261,1.05804,1.21141,0.91085,0.77495,0.85086,0.66506,0.92062,0.78798,0.8726,0.75953,0.79171,0.82064,1.04792,0.92149,0.008614,0.008614,0.008614
9,334.72,0.83571,1.23056,1.04838,1.21304,0.86422,0.83227,0.86756,0.6215,0.88365,0.82236,0.87706,0.74249,0.90414,0.89236,0.98429,0.9287,0.008416,0.008416,0.008416
10,357.908,0.81608,1.25007,1.01461,1.19379,0.88603,0.72824,0.8051,0.63313,0.89675,0.73461,0.80691,0.69509,0.80551,1.43008,1.03384,0.91642,0.008218,0.008218,0.008218
11,380.972,0.8195,1.23044,1.00416,1.21258,0.89301,0.79748,0.86015,0.65623,0.92549,0.78132,0.85975,0.7393,0.82656,0.92147,0.88436,0.90533,0.00802,0.00802,0.00802
12,404.461,0.80082,1.19567,0.96167,1.19402,0.90056,0.79406,0.85532,0.67343,0.93734,0.79397,0.86437,0.76454,0.8328,0.86781,0.8815,0.91678,0.007822,0.007822,0.007822
13,427.754,0.80594,1.16502,0.98021,1.19468,0.94293,0.79618,0.87143,0.6872,0.92628,0.8003,0.86904,0.76595,0.75527,0.91542,0.82952,0.87413,0.007624,0.007624,0.007624
14,451.13,0.7799,1.16553,0.93878,1.18685,0.91547,0.81104,0.86589,0.68247,0.91067,0.81316,0.86603,0.75357,0.80437,0.93753,0.86709,0.89721,0.007426,0.007426,0.007426
15,474.608,0.78308,1.10439,0.93214,1.18099,0.92518,0.83652,0.88293,0.70034,0.94492,0.83768,0.89671,0.77655,0.73546,0.8587,0.78,0.87185,0.007228,0.007228,0.007228
16,497.778,0.7645,1.07305,0.91492,1.17041,0.91016,0.83015,0.88273,0.70181,0.92088,0.83864,0.89395,0.76133,0.7636,0.92903,0.79699,0.8853,0.00703,0.00703,0.00703
17,521.283,0.75996,1.1342,0.92029,1.16966,0.91476,0.82023,0.89746,0.70775,0.91776,0.82928,0.90612,0.78833,0.75163,0.78134,0.7933,0.8464,0.006832,0.006832,0.006832
18,544.774,0.76116,1.09869,0.91252,1.16214,0.87475,0.82378,0.87275,0.69631,0.94862,0.78402,0.88079,0.77793,0.76176,0.97335,0.83506,0.87985,0.006634,0.006634,0.006634
19,568.086,0.74727,1.08328,0.90914,1.16819,0.91641,0.83794,0.88135,0.71664,0.91746,0.82378,0.88746,0.77579,0.69409,0.84501,0.75648,0.82877,0.006436,0.006436,0.006436
20,591.605,0.73097,1.02891,0.87669,1.16329,0.90588,0.8535,0.9086,0.71734,0.91161,0.84289,0.91206,0.79172,0.71965,0.74584,0.74189,0.83686,0.006238,0.006238,0.006238
21,614.803,0.70795,1.04804,0.83569,1.14661,0.92002,0.83034,0.88426,0.71517,0.93997,0.83118,0.8976,0.78502,0.70792,0.81108,0.77569,0.82808,0.00604,0.00604,0.00604
22,638.291,0.72644,1.04426,0.85169,1.15832,0.90516,0.83015,0.87968,0.71224,0.9225,0.83401,0.89434,0.78097,0.71888,0.82321,0.72823,0.84197,0.005842,0.005842,0.005842
23,661.744,0.7118,0.99703,0.83706,1.14669,0.92291,0.81342,0.90075,0.72393,0.92779,0.81839,0.90358,0.78564,0.69426,0.78355,0.71664,0.83718,0.005644,0.005644,0.005644
24,684.976,0.70716,1.01174,0.82778,1.14939,0.87361,0.82803,0.86574,0.69033,0.93516,0.79619,0.8756,0.7545,0.73954,0.78602,0.78052,0.85345,0.005446,0.005446,0.005446
25,708.396,0.70413,0.97832,0.83586,1.14234,0.90676,0.86716,0.92178,0.73531,0.94886,0.8273,0.92079,0.79992,0.70271,0.75739,0.70226,0.81443,0.005248,0.005248,0.005248
26,731.661,0.69284,0.95234,0.80489,1.14097,0.89788,0.82137,0.88988,0.72805,0.92104,0.84206,0.91328,0.80415,0.67393,0.73093,0.69607,0.81514,0.00505,0.00505,0.00505
27,755.002,0.68636,0.96077,0.79103,1.13059,0.90855,0.80679,0.85978,0.70404,0.92228,0.81953,0.8764,0.76153,0.69983,0.83161,0.79226,0.84269,0.004852,0.004852,0.004852
28,778.363,0.68684,0.92626,0.80636,1.13547,0.93608,0.80846,0.89524,0.74828,0.91788,0.83864,0.90655,0.80852,0.62631,0.73189,0.69257,0.79184,0.004654,0.004654,0.004654
29,801.607,0.66769,0.94072,0.77864,1.12812,0.92983,0.8159,0.88924,0.74119,0.9369,0.81967,0.8947,0.7982,0.65953,0.76439,0.69761,0.82073,0.004456,0.004456,0.004456
30,825.161,0.66285,0.94304,0.76383,1.12556,0.93791,0.81316,0.88256,0.71757,0.94161,0.82166,0.88678,0.77628,0.69146,0.83346,0.71238,0.81284,0.004258,0.004258,0.004258
31,848.369,0.65528,0.89698,0.76955,1.11815,0.94264,0.85138,0.91594,0.76465,0.94969,0.85775,0.92738,0.82441,0.64574,0.72741,0.66171,0.79562,0.00406,0.00406,0.00406
32,871.769,0.64867,0.89336,0.77295,1.11751,0.94505,0.83439,0.89426,0.72935,0.94862,0.84076,0.90086,0.79833,0.68097,0.72871,0.69627,0.81454,0.003862,0.003862,0.003862
33,895.138,0.63791,0.86495,0.75766,1.11537,0.94008,0.83273,0.90121,0.74791,0.93028,0.84986,0.90468,0.81184,0.67003,0.73841,0.65324,0.79974,0.003664,0.003664,0.003664
34,918.262,0.66615,0.91964,0.77283,1.12765,0.93101,0.83227,0.90699,0.74964,0.94496,0.83835,0.91171,0.80615,0.64811,0.71959,0.68794,0.79481,0.003466,0.003466,0.003466
35,941.816,0.64053,0.8998,0.76463,1.12013,0.91894,0.81832,0.88296,0.72701,0.94835,0.81953,0.88637,0.78593,0.65603,0.78744,0.71803,0.80264,0.003268,0.003268,0.003268
36,965.184,0.62387,0.90249,0.74908,1.11291,0.94472,0.83652,0.91361,0.77688,0.94951,0.84076,0.91467,0.82835,0.59284,0.71745,0.61521,0.76992,0.00307,0.00307,0.00307
37,988.517,0.63011,0.84953,0.74187,1.10957,0.92978,0.85138,0.90997,0.76993,0.93209,0.8535,0.91051,0.8211,0.60069,0.7513,0.62854,0.76959,0.002872,0.002872,0.002872
38,1011.95,0.60959,0.83546,0.7129,1.10301,0.93432,0.84561,0.90777,0.77369,0.93844,0.85138,0.91332,0.82854,0.5859,0.68258,0.65242,0.77086,0.002674,0.002674,0.002674
39,1035.22,0.61186,0.8363,0.71448,1.10626,0.96246,0.81741,0.90645,0.7661,0.94539,0.84536,0.9109,0.82057,0.59954,0.69003,0.61914,0.7833,0.002476,0.002476,0.002476
40,1058.56,0.60725,0.8162,0.71591,1.10129,0.94516,0.84167,0.90325,0.77222,0.95231,0.84789,0.90985,0.81507,0.59206,0.71378,0.63404,0.76386,0.002278,0.002278,0.002278
41,1082.22,0.52407,0.64777,0.60153,1.09705,0.90997,0.862,0.90701,0.76743,0.93721,0.85138,0.91667,0.81671,0.59498,0.74552,0.64607,0.77019,0.00208,0.00208,0.00208
42,1105.39,0.50192,0.61465,0.54771,1.08858,0.9308,0.84926,0.91348,0.77664,0.93501,0.8553,0.91784,0.82056,0.59032,0.69415,0.61473,0.76529,0.001882,0.001882,0.001882
43,1128.96,0.48168,0.61628,0.52951,1.06691,0.92792,0.83864,0.91707,0.77968,0.9391,0.84926,0.92143,0.82662,0.57211,0.67836,0.62085,0.75551,0.001684,0.001684,0.001684
44,1152.03,0.47053,0.60219,0.51326,1.05261,0.96404,0.81104,0.90586,0.76488,0.96701,0.81316,0.91506,0.81618,0.59367,0.69391,0.61962,0.75608,0.001486,0.001486,0.001486
45,1175.2,0.4562,0.58659,0.48904,1.04841,0.95461,0.82803,0.91544,0.7752,0.96635,0.82166,0.92094,0.82238,0.57383,0.69098,0.59826,0.75615,0.001288,0.001288,0.001288
46,1198.42,0.45146,0.59791,0.47879,1.05072,0.95718,0.81529,0.91165,0.77727,0.91522,0.862,0.91799,0.82567,0.57106,0.68449,0.59946,0.75315,0.00109,0.00109,0.00109
47,1221.16,0.44722,0.56454,0.46785,1.04166,0.95691,0.81529,0.90972,0.78075,0.92579,0.84757,0.91696,0.82432,0.56273,0.69486,0.60068,0.74099,0.000892,0.000892,0.000892
48,1244.55,0.44296,0.564,0.45802,1.03445,0.91493,0.84485,0.90198,0.77205,0.93101,0.85958,0.91565,0.81443,0.5612,0.70258,0.59973,0.75174,0.000694,0.000694,0.000694
49,1267.65,0.42662,0.55927,0.446,1.0272,0.92931,0.83728,0.91014,0.7724,0.94309,0.84501,0.91859,0.82162,0.56989,0.6943,0.58732,0.76082,0.000496,0.000496,0.000496
50,1290.71,0.42135,0.56159,0.43853,1.02813,0.91267,0.85987,0.9133,0.78611,0.9334,0.85138,0.92056,0.82595,0.56326,0.69063,0.58775,0.75395,0.000298,0.000298,0.000298
