epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,135.31,0.85842,1.90506,1.86411,1.27156,0.86511,0.78556,0.85029,0.66111,0.86511,0.78556,0.8526,0.71805,0.72936,0.94975,1.85528,0.93456,0.0686111,0.00165205,0.00165205
2,147.678,0.75348,1.24731,1.2589,1.18434,0.91133,0.77282,0.85042,0.6543,0.92255,0.78132,0.85734,0.73579,0.84754,1.20834,1.17652,0.96225,0.0368787,0.003253,0.003253
3,159.874,0.76177,1.18413,1.1227,1.16488,0.77907,0.72611,0.71634,0.54157,0.77287,0.73461,0.71213,0.5912,0.86046,1.01177,1.28678,0.96673,0.00508036,0.00478796,0.00478796
4,171.894,0.75842,1.16208,1.06764,1.16822,0.79658,0.72334,0.75733,0.55036,0.79845,0.72399,0.75005,0.59716,0.9851,1.36389,1.25665,1.02495,0.004703,0.004703,0.004703
5,183.955,0.7518,1.13881,1.018,1.15417,0.86031,0.78458,0.83046,0.64071,0.8971,0.78769,0.8417,0.715,0.80141,0.88669,1.0985,0.8934,0.004604,0.004604,0.004604
6,195.938,0.74201,1.1089,1.00253,1.156,0.88656,0.79193,0.85423,0.67636,0.8999,0.80255,0.86603,0.74611,0.7536,1.10104,1.03019,0.88581,0.004505,0.004505,0.004505
7,207.922,0.71121,1.01947,0.96016,1.14253,0.86855,0.79193,0.85812,0.63996,0.90012,0.80362,0.86896,0.74163,0.90017,0.9136,1.00727,0.92675,0.004406,0.004406,0.004406
8,219.984,0.7102,1.00663,0.95426,1.14207,0.88888,0.80679,0.88099,0.68382,0.89805,0.81316,0.88775,0.76495,0.76543,0.97989,0.93853,0.85139,0.004307,0.004307,0.004307
9,232.124,0.70349,1.04223,0.92874,1.13454,0.92365,0.81316,0.87064,0.68611,0.93479,0.82172,0.88119,0.75986,0.74214,0.8443,0.91007,0.85772,0.004208,0.004208,0.004208
10,244.083,0.69878,1.0084,0.89134,1.1285,0.88861,0.77913,0.84453,0.68019,0.89776,0.79406,0.84449,0.73835,0.7492,1.20099,0.93558,0.89267,0.004109,0.004109,0.004109
11,256.059,0.67523,0.9824,0.8803,1.127,0.83673,0.79428,0.83515,0.65254,0.84287,0.80862,0.84085,0.71566,0.7556,0.84461,1.02661,0.88876,0.00401,0.00401,0.00401
12,268.022,0.67623,0.98321,0.87425,1.1263,0.8921,0.80255,0.87605,0.70338,0.90478,0.80694,0.87952,0.77131,0.75048,0.9371,0.89191,0.86697,0.003911,0.003911,0.003911
13,280.169,0.6661,0.91399,0.85471,1.11271,0.8782,0.82166,0.88915,0.70715,0.92436,0.81741,0.90084,0.7931,0.78173,0.85319,0.82945,0.86171,0.003812,0.003812,0.003812
14,292.321,0.65747,0.92602,0.84874,1.1208,0.9484,0.81946,0.89041,0.73579,0.95821,0.8275,0.89831,0.80056,0.67864,0.84416,0.81659,0.83244,0.003713,0.003713,0.003713
15,304.432,0.65656,0.9486,0.83006,1.11218,0.9269,0.79406,0.88498,0.69623,0.93434,0.80042,0.88749,0.74049,0.77267,0.96758,0.82284,0.86997,0.003614,0.003614,0.003614
16,316.402,0.64597,0.96575,0.82375,1.10978,0.89136,0.83612,0.89713,0.73174,0.8885,0.84713,0.90762,0.78323,0.66532,0.81877,0.7773,0.80714,0.003515,0.003515,0.003515
17,328.367,0.65662,0.87952,0.81307,1.11323,0.957,0.8259,0.90068,0.72943,0.95946,0.82803,0.90344,0.8071,0.70232,0.86343,0.73546,0.82994,0.003416,0.003416,0.003416
18,340.531,0.63908,0.85626,0.77985,1.09845,0.93104,0.83015,0.87285,0.70754,0.92345,0.84519,0.87984,0.7757,0.74266,0.90093,0.80021,0.84074,0.003317,0.003317,0.003317
19,352.629,0.64682,0.87654,0.79311,1.10686,0.90401,0.81316,0.88348,0.72794,0.9139,0.82166,0.89441,0.7743,0.65357,0.79981,0.78074,0.82208,0.003218,0.003218,0.003218
20,364.621,0.62111,0.87084,0.78387,1.1014,0.87791,0.83015,0.88419,0.72484,0.89302,0.83015,0.89398,0.78773,0.69016,0.77221,0.76588,0.83111,0.003119,0.003119,0.003119
21,376.588,0.62894,0.87636,0.76547,1.1012,0.90323,0.83234,0.88616,0.75254,0.93816,0.82378,0.89672,0.79983,0.61482,0.75515,0.73909,0.77613,0.00302,0.00302,0.00302
22,388.61,0.62943,0.88561,0.77975,1.10161,0.90821,0.8403,0.8986,0.76087,0.89927,0.86412,0.90557,0.81765,0.60911,0.74763,0.70893,0.78546,0.002921,0.002921,0.002921
23,400.707,0.62551,0.84029,0.75543,1.10153,0.93827,0.82803,0.89785,0.7592,0.94308,0.83227,0.89869,0.80488,0.62352,0.77353,0.71799,0.78866,0.002822,0.002822,0.002822
24,412.696,0.61584,0.83656,0.75627,1.09324,0.92855,0.82771,0.8992,0.75251,0.9309,0.82947,0.9042,0.81295,0.62877,0.75849,0.72609,0.78558,0.002723,0.002723,0.002723
25,424.584,0.61925,0.84913,0.76355,1.09801,0.92032,0.84076,0.89033,0.73187,0.93866,0.8535,0.90215,0.79969,0.66022,0.7624,0.72218,0.80839,0.002624,0.002624,0.002624
26,436.449,0.59612,0.80611,0.72993,1.09158,0.91745,0.84943,0.9,0.76763,0.92885,0.85563,0.91182,0.81668,0.61238,0.75283,0.67362,0.77333,0.002525,0.002525,0.002525
27,448.455,0.60848,0.8011,0.72547,1.08428,0.92651,0.84076,0.9049,0.76564,0.94019,0.84076,0.90836,0.81576,0.63405,0.77284,0.66733,0.77914,0.002426,0.002426,0.002426
28,460.362,0.59546,0.7734,0.72207,1.08414,0.91246,0.84501,0.89562,0.7402,0.92989,0.84478,0.90378,0.80415,0.67542,0.84405,0.70559,0.80367,0.002327,0.002327,0.002327
29,472.302,0.58376,0.7837,0.71555,1.08209,0.88445,0.85138,0.89643,0.75454,0.9274,0.82803,0.90297,0.80852,0.64441,0.79495,0.69181,0.79384,0.002228,0.002228,0.002228
30,484.15,0.57359,0.77409,0.70359,1.07892,0.91945,0.83439,0.90171,0.76498,0.93493,0.84713,0.91403,0.81468,0.576,0.70722,0.6788,0.75963,0.002129,0.002129,0.002129
31,496.085,0.56923,0.72177,0.69035,1.06986,0.92151,0.84747,0.89929,0.77368,0.93074,0.85597,0.90585,0.82375,0.58892,0.7623,0.65246,0.76136,0.00203,0.00203,0.00203
32,508.079,0.57166,0.75846,0.69285,1.07851,0.91109,0.84849,0.90149,0.75334,0.94994,0.83227,0.90597,0.81666,0.61699,0.76052,0.64403,0.78294,0.001931,0.001931,0.001931
33,520.052,0.57394,0.77057,0.69725,1.07383,0.94831,0.818,0.89085,0.75925,0.96114,0.82166,0.89663,0.80668,0.63212,0.76698,0.66214,0.7852,0.001832,0.001832,0.001832
34,532.052,0.55898,0.76487,0.69174,1.06987,0.93616,0.84713,0.89821,0.77352,0.94555,0.85563,0.91055,0.82362,0.58861,0.80814,0.61713,0.76876,0.001733,0.001733,0.001733
35,544.14,0.55777,0.72954,0.67533,1.06929,0.92334,0.86942,0.91257,0.78253,0.93678,0.87049,0.92289,0.831,0.5592,0.66924,0.59612,0.74918,0.001634,0.001634,0.001634
36,556.102,0.55451,0.72589,0.66613,1.07016,0.93199,0.84713,0.90079,0.76773,0.93691,0.85138,0.90785,0.81865,0.5915,0.74518,0.6409,0.75639,0.001535,0.001535,0.001535
37,567.994,0.55469,0.72718,0.66848,1.06114,0.93491,0.85392,0.90928,0.77612,0.94142,0.85294,0.91337,0.82386,0.56695,0.72527,0.61852,0.74353,0.001436,0.001436,0.001436
38,579.949,0.54222,0.68634,0.65345,1.0599,0.94342,0.84289,0.90747,0.77342,0.95081,0.84926,0.91746,0.82247,0.56736,0.71555,0.60522,0.7491,0.001337,0.001337,0.001337
39,591.92,0.5414,0.71875,0.66018,1.0599,0.93506,0.84926,0.90511,0.77131,0.9435,0.85086,0.91227,0.82404,0.58841,0.72424,0.6216,0.75107,0.001238,0.001238,0.001238
40,603.98,0.5443,0.71399,0.6419,1.0594,0.93759,0.84076,0.90181,0.78051,0.9447,0.84713,0.90685,0.81671,0.57127,0.75472,0.58761,0.74462,0.001139,0.001139,0.001139
41,616.92,0.46443,0.56858,0.63309,1.04943,0.92647,0.85609,0.90402,0.77807,0.94572,0.85082,0.91174,0.82769,0.56775,0.71241,0.65256,0.75218,0.00104,0.00104,0.00104
42,628.832,0.43673,0.55074,0.5331,1.03658,0.92225,0.84713,0.90541,0.77625,0.93901,0.84985,0.91192,0.82074,0.54827,0.68472,0.6357,0.7399,0.000941,0.000941,0.000941
43,640.83,0.42974,0.52454,0.51639,1.03046,0.93211,0.84076,0.90305,0.77027,0.93701,0.85274,0.9092,0.8168,0.58978,0.70966,0.63559,0.75762,0.000842,0.000842,0.000842
44,652.733,0.42257,0.5193,0.49547,1.01625,0.94016,0.83398,0.89832,0.78095,0.94103,0.84695,0.90874,0.81478,0.55573,0.68768,0.64678,0.75,0.000743,0.000743,0.000743
45,664.602,0.41208,0.52976,0.49111,1.00946,0.92356,0.85775,0.90377,0.77,0.93139,0.85775,0.90695,0.81656,0.55986,0.70271,0.62062,0.74198,0.000644,0.000644,0.000644
46,676.519,0.40703,0.50513,0.47825,1.01483,0.92235,0.85752,0.90263,0.77665,0.92692,0.86176,0.90613,0.81598,0.55487,0.71349,0.61924,0.73914,0.000545,0.000545,0.000545
47,688.409,0.40335,0.51015,0.46766,1.0096,0.94372,0.8545,0.91001,0.78303,0.94372,0.8545,0.91359,0.82377,0.54532,0.69351,0.61377,0.72974,0.000446,0.000446,0.000446
48,700.362,0.38868,0.50332,0.45429,0.99511,0.9452,0.85138,0.90644,0.77364,0.94755,0.8535,0.90973,0.81526,0.55687,0.70119,0.61445,0.7429,0.000347,0.000347,0.000347
49,712.326,0.38976,0.49341,0.44126,0.99962,0.94581,0.85234,0.90694,0.78128,0.95052,0.85659,0.91227,0.81905,0.54572,0.69556,0.60134,0.73566,0.000248,0.000248,0.000248
50,724.161,0.38761,0.50357,0.44286,1.00727,0.9393,0.85423,0.90627,0.78754,0.94164,0.85636,0.91199,0.82266,0.53881,0.698,0.59884,0.73322,0.000149,0.000149,0.000149
