epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,134.5,0.93005,2.49025,2.19456,1.32479,0.01181,0.96603,0.77667,0.55618,0.01165,0.95329,0.77695,0.63076,0.69077,1.14792,2.44068,0.89705,0.0675789,0.000327485,0.000327485
2,145.879,0.7847,1.45996,1.60873,1.22514,0.86464,0.75949,0.84833,0.64655,0.85256,0.77344,0.85495,0.73397,0.75922,0.96187,1.87692,0.9219,0.0345659,0.000647735,0.000647735
3,157.036,0.72528,1.19043,1.31151,1.17519,0.85865,0.81255,0.86421,0.65954,0.86314,0.8168,0.86713,0.74413,0.81128,0.87418,1.47705,0.91778,0.00153958,0.000954784,0.000954784
4,168.367,0.68146,1.09929,1.18406,1.14158,0.9371,0.80467,0.89084,0.69528,0.95249,0.80872,0.89906,0.7839,0.7729,0.78199,1.30631,0.87242,0.0009406,0.0009406,0.0009406
5,179.607,0.66629,1.00916,1.12316,1.12677,0.88878,0.81529,0.8598,0.6588,0.90231,0.82365,0.86719,0.76518,0.82008,0.86765,1.29084,0.91402,0.0009208,0.0009208,0.0009208
6,190.771,0.62901,1.00634,1.06929,1.11418,0.89258,0.79386,0.85715,0.69004,0.9021,0.80212,0.86306,0.75573,0.68462,0.8482,1.25154,0.87013,0.000901,0.000901,0.000901
7,201.894,0.61907,0.97305,1.0234,1.10549,0.91925,0.81104,0.87663,0.69322,0.93566,0.8259,0.88715,0.78949,0.74279,0.82392,1.19982,0.88041,0.0008812,0.0008812,0.0008812
8,213.118,0.62378,0.93078,1.01055,1.11092,0.8991,0.8259,0.87682,0.73967,0.90489,0.82821,0.88604,0.79163,0.65946,0.83656,1.12043,0.84173,0.0008614,0.0008614,0.0008614
9,224.33,0.61357,0.89874,0.97318,1.1019,0.88431,0.81741,0.88593,0.72006,0.89721,0.81538,0.89075,0.78862,0.66399,0.76435,1.13534,0.83381,0.0008416,0.0008416,0.0008416
10,235.549,0.61529,0.94996,0.97788,1.09967,0.90392,0.81893,0.87305,0.72857,0.91196,0.81373,0.87893,0.78999,0.65435,0.84769,1.10347,0.83263,0.0008218,0.0008218,0.0008218
11,246.752,0.58666,0.89234,0.93362,1.08919,0.91567,0.82989,0.88964,0.73996,0.92269,0.83626,0.89827,0.80428,0.65233,0.75858,1.029,0.82468,0.000802,0.000802,0.000802
12,258.055,0.59547,0.83482,0.9392,1.093,0.91446,0.83984,0.89229,0.74249,0.91909,0.84408,0.89801,0.81554,0.6381,0.72474,1.00348,0.80133,0.0007822,0.0007822,0.0007822
13,269.341,0.59349,0.88368,0.92166,1.09298,0.90904,0.84878,0.89548,0.76138,0.9266,0.84076,0.89772,0.81556,0.6268,0.74144,0.97647,0.80543,0.0007624,0.0007624,0.0007624
14,280.566,0.58631,0.89253,0.91095,1.09153,0.92695,0.8352,0.90571,0.76518,0.93176,0.84075,0.91093,0.81739,0.59562,0.73207,0.94354,0.78964,0.0007426,0.0007426,0.0007426
15,291.84,0.59181,0.84837,0.89555,1.09485,0.90723,0.8535,0.89878,0.72419,0.91478,0.84926,0.9051,0.81356,0.67945,0.7865,1.02924,0.81471,0.0007228,0.0007228,0.0007228
16,302.977,0.5872,0.83243,0.88401,1.08563,0.92222,0.83864,0.89778,0.74711,0.93812,0.83686,0.89996,0.80867,0.64663,0.80524,0.94348,0.8046,0.000703,0.000703,0.000703
17,314.132,0.56466,0.83247,0.86737,1.07892,0.88958,0.85526,0.90514,0.76934,0.89395,0.85909,0.91009,0.81787,0.5908,0.71255,0.91162,0.78204,0.0006832,0.0006832,0.0006832
18,325.364,0.57115,0.81194,0.86852,1.08137,0.89193,0.84114,0.90124,0.76381,0.89657,0.84663,0.90619,0.81363,0.59,0.72409,0.93635,0.7838,0.0006634,0.0006634,0.0006634
19,336.446,0.56702,0.81128,0.8685,1.07579,0.8896,0.85545,0.90214,0.75911,0.89465,0.85775,0.90536,0.81447,0.61393,0.74768,0.93711,0.79128,0.0006436,0.0006436,0.0006436
20,347.63,0.56561,0.78432,0.84667,1.07992,0.91054,0.84275,0.90514,0.75239,0.92097,0.84501,0.90735,0.81114,0.64588,0.77991,0.91109,0.80601,0.0006238,0.0006238,0.0006238
21,358.873,0.57225,0.80401,0.84787,1.07425,0.88372,0.85519,0.90474,0.76752,0.8903,0.86156,0.90911,0.81874,0.58805,0.76541,0.89173,0.78617,0.000604,0.000604,0.000604
22,370.107,0.5734,0.79672,0.8449,1.07834,0.93786,0.83309,0.89806,0.7645,0.94846,0.83015,0.89812,0.81137,0.60408,0.79339,0.86363,0.78659,0.0005842,0.0005842,0.0005842
23,381.255,0.56696,0.82298,0.83634,1.07167,0.92049,0.83573,0.89685,0.75617,0.93456,0.83864,0.90479,0.81605,0.61575,0.77502,0.87361,0.78217,0.0005644,0.0005644,0.0005644
24,392.392,0.55199,0.79287,0.82659,1.07214,0.91877,0.85563,0.90415,0.76688,0.95158,0.84076,0.90828,0.81455,0.62225,0.75135,0.83292,0.77784,0.0005446,0.0005446,0.0005446
25,403.533,0.55839,0.79465,0.82452,1.07909,0.93659,0.84672,0.90212,0.75591,0.9414,0.8535,0.9012,0.81749,0.64356,0.81429,0.8874,0.78428,0.0005248,0.0005248,0.0005248
