epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.897,0.90726,1.89357,1.79287,1.29986,0.85554,0.74184,0.82545,0.61412,0.85621,0.74591,0.82805,0.68208,0.84785,0.93627,1.60931,0.97997,0.0684029,0.001663,0.001663
2,171.691,0.79836,1.39688,1.31198,1.20954,0.81661,0.72399,0.79581,0.5938,0.81167,0.7229,0.77501,0.63457,0.87,1.62737,1.37688,0.99137,0.0366703,0.00326374,0.00326374
3,195.363,0.80524,1.36643,1.20378,1.19938,0.89169,0.75584,0.84171,0.63921,0.9057,0.76221,0.85082,0.72828,0.85773,0.93405,1.19133,0.92977,0.00487174,0.00479848,0.00479848
4,219.002,0.81808,1.27558,1.17078,1.19902,0.88425,0.81099,0.8643,0.63194,0.89321,0.81953,0.86957,0.72297,0.86704,0.89212,1.14039,0.91763,0.004703,0.004703,0.004703
5,242.37,0.79788,1.26221,1.10541,1.19216,0.83683,0.81529,0.85505,0.65954,0.86631,0.8259,0.85934,0.74216,0.80711,0.89596,1.07944,0.90177,0.004604,0.004604,0.004604
6,266.1,0.77888,1.22243,1.08587,1.18645,0.86149,0.77707,0.85073,0.66591,0.88503,0.7983,0.85993,0.73715,0.77508,0.95077,1.02968,0.906,0.004505,0.004505,0.004505
7,289.39,0.76231,1.15944,1.05538,1.18775,0.91335,0.78325,0.87896,0.67678,0.94916,0.79274,0.89464,0.7725,0.7835,0.75058,0.98384,0.88086,0.004406,0.004406,0.004406
8,312.81,0.74765,1.16048,1.02025,1.16683,0.93125,0.84289,0.89943,0.72096,0.93403,0.84164,0.90757,0.794,0.71319,0.86364,0.90746,0.86341,0.004307,0.004307,0.004307
9,336.36,0.74207,1.10322,0.99965,1.1695,0.92351,0.79193,0.87701,0.66343,0.93554,0.80123,0.88578,0.77153,0.86486,0.78355,0.96314,0.94163,0.004208,0.004208,0.004208
10,359.505,0.73394,1.11861,0.98994,1.15685,0.89577,0.80255,0.87446,0.69585,0.90418,0.80136,0.87423,0.76994,0.71627,0.82589,0.98878,0.86984,0.004109,0.004109,0.004109
11,383.19,0.71936,1.0827,0.97342,1.16576,0.91959,0.77696,0.85191,0.63962,0.93322,0.79193,0.8602,0.75465,0.9353,0.89244,1.02549,0.93963,0.00401,0.00401,0.00401
12,406.477,0.71961,1.09113,0.9576,1.15902,0.91152,0.8312,0.90064,0.72169,0.91851,0.83757,0.90197,0.79339,0.72867,0.77593,0.84357,0.86981,0.003911,0.003911,0.003911
13,429.776,0.73019,1.05219,0.96734,1.1627,0.89283,0.81362,0.87965,0.69798,0.9096,0.81104,0.88027,0.77113,0.70733,0.75023,0.95779,0.84442,0.003812,0.003812,0.003812
14,453.252,0.70121,1.05869,0.91861,1.15395,0.92045,0.82166,0.88542,0.69667,0.94613,0.82166,0.8938,0.78687,0.74494,0.81805,0.84804,0.86421,0.003713,0.003713,0.003713
15,476.204,0.71674,1.00976,0.92092,1.14849,0.91811,0.82378,0.89711,0.71156,0.9277,0.83227,0.89935,0.78686,0.70715,0.76622,0.81841,0.84921,0.003614,0.003614,0.003614
16,499.46,0.69081,0.99479,0.88856,1.13478,0.95248,0.78981,0.8941,0.70922,0.96016,0.79618,0.90064,0.77982,0.69883,0.79322,0.82476,0.83915,0.003515,0.003515,0.003515
17,522.821,0.6924,1.00633,0.90985,1.14059,0.93814,0.81316,0.90351,0.73897,0.95136,0.82803,0.90727,0.80933,0.68898,0.74069,0.75244,0.82246,0.003416,0.003416,0.003416
18,545.923,0.70104,1.00215,0.89416,1.1399,0.91666,0.77068,0.86836,0.70118,0.92436,0.77837,0.87885,0.77663,0.73048,0.75143,0.85896,0.85818,0.003317,0.003317,0.003317
19,569.362,0.67778,0.98636,0.88011,1.13771,0.9282,0.82341,0.89815,0.73566,0.93948,0.82803,0.90371,0.8058,0.67412,0.7543,0.74271,0.82015,0.003218,0.003218,0.003218
